scenario_id,policy_type,seed,or_index,coordination_success,episode_return,episode_length
cramped_room_h400_baseline_gpu,ppo_200k,10,-0.03149995008398376,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,11,0.038580411223131605,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,12,-0.027935795782805917,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,13,0.024321256397735747,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,14,-0.03554819290409439,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,15,-0.020807579068055637,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,16,-0.02724310553393361,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,17,0.007326109084781374,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,18,-0.020790362078876634,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,19,-0.034998365874496895,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,20,-0.014601679587503025,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,21,-0.023015607748845368,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,22,-0.04221809320822456,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,23,-0.0325549635266561,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,24,-0.028455634230756144,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,25,-0.018693701217839198,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,26,0.004829527127496291,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,27,-0.04519547172061067,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,28,-0.006691115403907211,0.0,0.0,400
cramped_room_h400_baseline_gpu,ppo_200k,29,-0.00997587116906884,0.0,0.0,400
